component	kappa	rho	variance explained	normalized variance explained	countsigFR2	countsigFS0	dice_FR2	dice_FS0	countnoise	signal-noise_t	signal-noise_p	d_table_score	d_table_score_scrub	classification	rationale
170	7.437614	6.928158	0.041859	0.099689	151.000000	78.000000	0.000000	0.000000	5361	0.000000	0.000000	826		ignored	I008
171	7.437513	7.288856	0.035601	0.093036	0.000000	0.000000	0.000000	0.000000	5344	0.000000	0.000000	991		ignored	I008
172	7.436420	7.098026	0.040698	0.103562	0.000000	0.000000	0.000000	0.000000	5358	0.000000	0.000000	1020		ignored	I008
173	7.430640	7.017516	0.038979	0.098723	50.000000	0.000000	0.000000	0.000000	5129	-2.398787	0.017249	864		ignored	I008
174	7.428117	7.493009	0.036498	0.095990	0.000000	0.000000	0.000000	0.000000	5348	2.343594	0.022384	860		rejected	I002
175	7.427006	7.113753	0.036973	0.097066	0.000000	0.000000	0.000000	0.000000	5311	0.456226	0.649927	823		ignored	I008
176	7.423944	7.103437	0.038349	0.097524	56.000000	0.000000	0.000000	0.000000	5388	0.000000	0.000000	914		ignored	I008
177	7.421555	7.278070	0.042960	0.107200	0.000000	0.000000	0.000000	0.000000	5303	0.000000	0.000000	928		ignored	I008
178	7.415409	7.183043	0.042364	0.101561	0.000000	0.000000	0.000000	0.000000	5365	0.000000	0.000000	1025		ignored	I008
179	7.412179	7.181960	0.040284	0.100879	46.000000	0.000000	0.000000	0.000000	5388	0.000000	0.000000	939		ignored	I008
180	7.409337	7.389238	0.046353	0.115184	111.000000	120.000000	0.000000	0.000000	5378	0.000000	0.000000	854		rejected	I003
181	7.408873	7.275981	0.042121	0.102322	114.000000	47.000000	0.000000	0.000000	5276	0.000000	0.000000	706		ignored	I008
182	7.408180	7.140741	0.035933	0.095063	101.000000	114.000000	0.000000	0.000000	5444	0.000000	0.000000	942		rejected	I003
183	7.406092	7.339361	0.045664	0.109792	195.000000	71.000000	0.000000	0.000000	5346	0.000000	0.000000	773		ignored	I008
184	7.405170	6.910999	0.038647	0.101190	0.000000	0.000000	0.000000	0.000000	5391	0.000000	0.000000	1059		ignored	I008
185	7.400190	6.836154	0.036020	0.093813	0.000000	0.000000	0.000000	0.000000	5427	0.000000	0.000000	1104		ignored	I008
